iter	Passed	Remaining
0	0	32
1	0	29
2	0	28
3	1	26
4	1	25
5	1	25
6	1	24
7	2	24
8	2	23
9	2	23
10	2	23
11	3	22
12	3	22
13	3	21
14	3	21
15	4	21
16	4	21
17	4	20
18	4	20
19	5	20
20	5	19
21	5	19
22	5	19
23	6	19
24	6	18
25	6	18
26	6	18
27	7	18
28	7	17
29	7	17
30	7	17
31	8	17
32	8	16
33	8	16
34	8	16
35	8	15
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	13
43	10	13
44	11	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	11
51	12	11
52	12	11
53	13	11
54	13	10
55	13	10
56	13	10
57	14	10
58	14	9
59	14	9
60	15	9
61	15	9
62	15	9
63	16	9
64	16	8
65	16	8
66	16	8
67	17	8
68	17	7
69	17	7
70	17	7
71	18	7
72	18	6
73	18	6
74	18	6
75	19	6
76	19	5
77	19	5
78	20	5
79	20	5
80	20	4
81	20	4
82	21	4
83	21	4
84	21	3
85	21	3
86	22	3
87	22	3
88	22	2
89	22	2
90	23	2
91	23	2
92	23	1
93	23	1
94	24	1
95	24	1
96	24	0
97	24	0
98	25	0
99	25	0
